id,category,difficulty,context,question,optionA,optionB,optionC,optionD,correct,explanation
1,片段閱讀,medium,"男女之間是否可能有真正的友誼？這是在實際生活中常常遇到、常常引起爭論的一個難題。即使在最封閉的社會裡，一個人戀愛了，或者結了婚，仍然不免與別的異性接觸和可能發生好感。這種不說泛愛者和愛情轉移者，一般而論，一種排除情慾的澄明的友誼是否可能呢？","以下哪項不是第一段帶出的訊息？","作者不肯定「一種排除情慾的澄明的友誼」是否可能。","一個人即使結了婚，仍有機會對其他異性產生好感。","「男女之間能否具備真正的友誼」是一個常見的難題。","「男女之間能否具備真正的友誼」值得討論。",A,"正確答案是A。第一段末句以問句『一種排除情慾的澄明的友誼是否可能呢？』明確表達了作者對此問題的疑問態度，因此『作者不肯定「一種排除情慾的澄明的友誼」是否可能』是第一段帶出的訊息。選項B對應『一個人戀愛了，或者結了婚，仍然不免與別的異性接觸和可能發生好感。』選項C對應『這是在實際生活中常常遇到、常常引起爭論的一個難題。』選項D從整個設問的語氣中可以感受到，作者提出這個問題本身就意味著其值得討論。題目問哪項『不是』帶出的訊息，而A是直接提出的疑問，因此A是帶出的訊息。此題的正確答案應為能從第一段**推斷不出**或**與段意相反**的選項。若嚴格按原文，A是作者提出的疑問，故是帶出的訊息。原答案紙給出A，可能是基於對『帶出的訊息』的不同理解，或者題目本身設計上期望考生識別出作者並非對此完全沒有看法（因為提出了疑問）。但從字面看，A是段落內容。為符合遊戲格式，且答案紙指明A，此處保留A，但註明其字面理解與答案選擇間的微妙關係。（Context 來源：CRE 中文運用 模擬試卷一.docx，文章一，第1段）"
2,片段閱讀,medium,"莫洛亞對這個問題的討論是饒有趣味的。他列舉了三種異性之間友誼的情形：一方單戀而另一方容忍；一方或雙方是過了戀愛年齡的老人；舊日的戀人轉變為友人。分析下來,其中每一種都不可能完全排除性吸引的因素。道德家們往往攻擊這種「雜有愛的成分的友誼」,莫洛亞的回答是：即使有性的因素起作用，又有什麼要緊呢！「既然身為男子與女子，若在生活中忘記了肉體的作用，始終是一種瘋狂的行為。」","作者在第二段引用了莫洛亞的說話,目的是什麼？","每一種戀愛,不可能完全排除性吸引的因素。","男女之間的友誼,或多或少包含著性的因素。","戀愛時應忘記肉體的作用，盡情享受。","戀愛始終是一種瘋狂的行為。",B,"正確答案是B。第二段引用莫洛亞的話，核心在於討論異性友誼中『不可能完全排除性吸引的因素』，並以莫洛亞的回答『即使有性的因素起作用，又有什麼要緊呢！』來支持這一觀點，即承認並接納男女友誼中可能存在的性因素。選項A將友誼的情形錯誤地歸納為戀愛。選項C與莫洛亞引言中『若在生活中忘記了肉體的作用，始終是一種瘋狂的行為』的觀點相反。選項D曲解了莫洛亞的話，他並非指戀愛是瘋狂行為，而是指在生活中忘記肉體作用是瘋狂行為。（Context 來源：CRE 中文運用 模擬試卷一.docx，文章一，第2段）"
3,片段閱讀,hard,"異性之間的友誼即使不能排除性的吸引，它仍然可以是一種真正的友誼。蒙田曾經設想，男女之間最美滿的結合方式不是婚姻，而是一種肉體得以分享的精神友誼。拜倫在談到異性友誼時也說：「毫無疑義,性的神秘力量在其中也如同在血緣關係中佔據著一種天真無邪的優越地位，把這諧音調弄到一種更微妙的境界。如果能擺脫一切友誼所防止的那種熱情，又充分明白自己的真實情感，世間就沒有什麼能比得上做女人的朋友了，如果你過去不曾做過情人，將來也不願做了。在天才的生涯中起重要作用的女性未必是妻子或情人，有不少倒是天才的精神摯友，只要想一想貝蒂娜與歌德、貝多芬，梅森葆夫人與瓦格納、尼采、赫爾岑、羅曼·羅蘭,莎樂美與尼采、里爾克、佛洛德，就足夠了。」當然，性的神秘力量在其中起著的作用也是不言而喻的。這種力量因客觀情境或主觀努力而被限制在一個有益無害的地位，既可為異性友誼罩上一種為同性友誼所未有的溫馨情趣，又不致像愛情那樣激起一種瘋狂的佔有慾。","第三段中，作者認為男女之間的友誼:\nI. 有益無害\nⅡ.富溫馨情趣\nIII. 不致引起雙方瘋狂的佔有慾","I及lⅡ。","I及Ⅲ。","全部皆是。","全部皆非。",C,"正確答案是C。根據第三段末尾：I對應『這種力量因客觀情境或主觀努力而被限制在一個有益無害的地位』；II對應『既可為異性友誼罩上一種為同性友誼所未有的溫馨情趣』；III對應『又不致像愛情那樣激起一種瘋狂的佔有慾』。因此，三項描述均符合作者在第三段中對男女之間友誼的看法。（Context 來源：CRE 中文運用 模擬試卷一.docx，文章一，第3段）"
4,片段閱讀,medium,"面對帶有明顯女性氣質的男星走紅現象，有人發出驚呼和讚歎，認為現代女性受到與男性相等的關注與尊重，現代女性地位得到前所未有的肯定和提升。然而事實果真如此麼?當我們把研究角度更移深一層,就會發現男星女性化中蘊涵了更為隱蔽的意蘊。","作者對於「男星女性化」的態度是：","欣賞。","懷疑。","全盤否定。","不置可否。",B,"正確答案是B。文章第一段末尾，作者用『然而事實果真如此麼?』以及『就會發現男星女性化中蘊涵了更為隱蔽的意蘊』的表述，對「男星女性化」現象引發的正面解讀提出了明確的質疑，表明作者對此持審慎和探究的懷疑態度，而非直接的欣賞、全盤否定或完全不發表意見。（Context 來源：CRE 中文運用 模擬試卷一.docx，文章二，第1段）"
5,片段閱讀,medium,"詹姆森曾指出，文化是消費社會最基本的特徵，還沒有一個社會像消費社會這樣充滿了各種符號和概念。英國邁克·費瑟斯通認為大眾消費運動伴隨著符號生產、日常體驗和時間活動的重新組織,並指出這種消費文化淡化了原來商品的使用或產品意義觀念，並賦予其新的影像與記號,全面激發人們廣泛的感覺聯想和慾望。","第二段中，邁克·費瑟斯通認為大眾消費運動:","激發起人類消費的慾望。","扭曲了產品的影像與記號。","與「男星女性化」關係密切。","是符號生產、日常體驗的載體。",D,"正確答案是D。第二段引述了邁克·費瑟斯通的觀點，指出大眾消費運動『伴隨著符號生產、日常體驗和時間活動的重新組織』，並且『賦予其新的影像與記號』。這直接說明他認為大眾消費運動是符號生產和日常體驗的重要載體。選項A是消費運動的一個結果，但非核心觀點。選項B的「扭曲」帶有較強的負面判斷，原文是「淡化」和「賦予新的」，更側重於轉變過程。選項C在第二段中並未被提及。（Context 來源：CRE 中文運用 模擬試卷一.docx，文章二，第2段）"
6,片段閱讀,medium,"正是在現代消費社會,大眾媒介作為消費時代的鼓噪者，擔負著為消費文化搖旗吶喊的角色。電視機、電影、雜誌等大眾媒介所塑造的成熟、充滿男性魅力的形象已使女性觀眾感到「審美疲勞」,如何最大限度地迎合作為消費社會主要購買力之一的女性消費者，作為文化載體和生產者的大眾媒介抓住女性心理，試圖賦予符號以新的形式和新的含義。具體地說，即是媒介企圖塑造一些帶有傳統女性氣質的男星形象。這些男星裝扮上或面相嬌媚，或清秀溫柔，迥然不同與以前高倉健式螢幕硬漢形象。這些陰柔氣質的男性明星一登場,便給人以耳目一新之感。媒介塑造的這一形象抓住女性情感訴求，盡可能地迎合了女性消費者的口味。","傳媒在塑造一位令人耳目一新的男明星時,需要：\nI 帶有傳統女性氣質\nⅡ抓住女性情感訴求\nⅢ迎合女性觀眾品味","I及Ⅱ。","I及Ⅲ。","全部皆是。","全部皆非。",C,"正確答案是C。根據第三段內容：I對應『媒介企圖塑造一些帶有傳統女性氣質的男星形象』；II對應『媒介塑造的這一形象抓住女性情感訴求』；III對應『盡可能地迎合了女性消費者的口味』。因此，三個條件都是傳媒在塑造此類男明星時所運用的策略。（Context 來源：CRE 中文運用 模擬試卷一.docx，文章二，第3段）"
7,片段閱讀,medium,"然而當我們通過利潤這一商業的棱鏡透視這一新型文化現象時,我們很容易發現當消費者欣喜地沉溺於感官賞析的愉悅時,媒介作為塑造、引導這一消費文化的策劃者，正在為節節攀升的收視率、蜂擁而至的商業廣告和贊助商，以及滾滾而來的鉅額利潤而竊喜不已。當女性在誤認為她們絕對可以自由自主地選擇消費文化並體驗快樂時,當有人為「男色消費」歡呼雀躍不已，當有人為女性獲得同男性同等權力而欣喜的時候，她們忽略了符號背後被媒體操縱下的經濟目的。利益的角逐被披上文化消費的外衣，並精心地顯性化為美麗的視覺符號,愉悅的審美體驗模糊了其背後對擴大市場和利潤的渴求，以及無形的商業陷阱。","作者認為女性在消費文化中，表面獲得______,實質______。","快感……權力。","興奮……被誤導。","自由……快樂。","自由……被操控。",D,"正確答案是D。第四段明確指出，當女性『誤認為她們絕對可以自由自主地選擇消費文化並體驗快樂時』，她們實則『忽略了符號背後被媒體操縱下的經濟目的』。這表明女性表面上似乎獲得了選擇的『自由』和體驗的『快樂』，但實質上卻是被媒體出於經濟目的而『操控』。因此，『自由……被操控』最能準確概括作者的觀點。（Context 來源：CRE 中文運用 模擬試卷一.docx，文章二，第4段）"
8,片段閱讀,hard,"更深一層來說，婦女通過媒介與「外面的」世界建立聯繫，但同時媒介也會加深婦女與外界的隔絕,因為它會鞏固她們所共有的位置感。男星女性化不僅可以使女性得到精神上的自我認同感，而且無形中更強化建構了自己從屬於某個群體的身分，從而堅定了傳統社會所定義的群體歸屬感。男星這些符號所代表的意義是再次對父權社會生活中性別的描繪與展示，它成功地進行了父權制度下男女不平等的社會權力結構的複製。男性對女性形象的想像和塑造，把女性更加孤立地囿於傳統女性角色的圈子裡。","以下哪不是作者在最後一段所帶出的觀點?","「男星女性化」可以使女性得到精神上的自我認同感。","「男星女性化」使女性強化了自己從屬於某個群體的身分。","「男星女性化」是導致社會男女不平等的真兇。","「男星女性化」令女觀眾「傳統女性角色」的概念更牢固。",C,"正確答案是C。第五段指出「男星女性化」現象『成功地進行了父權制度下男女不平等的社會權力結構的複製』，並『把女性更加孤立地囿於傳統女性角色的圈子裡』。這說明作者認為這種現象是複製和強化了已有的不平等結構，而不是直接『導致』這種不平等的『真兇』。選項A對應『男星女性化不僅可以使女性得到精神上的自我認同感』。選項B對應『而且無形中更強化建構了自己從屬於某個群體的身分』。選項D對應『從而堅定了傳統社會所定義的群體歸屬感』以及『把女性更加孤立地囿於傳統女性角色的圈子裡』。（Context 來源：CRE 中文運用 模擬試卷一.docx，文章二，第5段）"
9,片段閱讀,medium,"精神與物質,都是人類生活不可或缺的價值。一個人住大屋，衣食無憂,擁有「五花馬,千金裘」時,其對文化和精神的要求恰恰也就少了。反之，國難當頭時,人們會悲歎，唱出「倩何人，喚取紅巾翠袖，英雄淚！」的經典宋詞,生出大文豪辛棄疾；天災人禍期間,有多部文學巨著面世。","這段話的中心論點是：","人類生活中，物質生活愈豐富，精神要求也就愈少。","往往在天災人禍、國難當頭時,總會有經典的文學作品產生。","擁有「五花馬,千金裘」沒有靈感進行文學創作。","精神與物質,都是人類生活不可或缺的價值。",A,"正確答案是A。雖然文段開篇提到『精神與物質,都是人類生活不可或缺的價值』（選項D），但隨後的論述通過對比『一個人住大屋，衣食無憂...其對文化和精神的要求恰恰也就少了』和『反之，國難當頭時...有多部文學巨著面世』，核心在於闡釋物質富足與精神追求之間的反向關係。因此，選項A最能概括這段話的中心論點。選項B是文中的一個例證。選項C『沒有靈感』的表述比原文的『要求恰恰也就少了』更為絕對。（Context 來源：CRE 中文運用 模擬試卷一.docx，II.片段 語段閱讀，第9題）"
10,片段閱讀,medium,"「衣食」一詞,小時候聽過不知多少次。這句話的用處很清楚：用來責難對食物的浪費。衣食兩字出自《管子》「倉廩實,然後知禮節;衣食足，然後知榮辱」及《孟子》「謂衣與食孰急於人，則是不可一無,皆養生之具也」等等。不過,管子也好，孟子也好，裡面的衣、食本來分指衣和食兩樣東西，但廣東話「嘥衣食」從來都只是用來罵人浪費食物，並不包括浪費衣服。","這段文字的中心論點是：","「衣食」一詞的定義。","「衣食」一詞的古今意義的不同。","「嘥衣食」不包括浪費衣服。","不少人錯誤理解「衣食」一詞。",B,"正確答案是B。文段首先解釋了「衣食」一詞在古代典籍中的本義，即分別指衣和食兩樣東西。接著，文段指出在現代廣東話中，「嘥衣食」的意義發生了轉變，專指浪費食物，而不包括浪費衣服。這種對比清晰地揭示了「衣食」一詞在古今意義上的不同。選項A和C是文段的部分內容，但非中心論點。選項D雖有所暗示，但B的概括更為全面和準確。（Context 來源：CRE 中文運用 模擬試卷一.docx，II.片段 語段閱讀，第10題）"
